wt,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,yr,mo,Date
1,Samstag,36,0,9,27,0,9,40,2,38,2011,10,2011-10-01
2,Sonntag,41,0,9,32,0,11,42,5,46,2011,10,2011-10-02
3,Montag,25,0,3,22,0,3,25,3,28,2011,10,2011-10-03
4,Dienstag,48,1,6,41,1,6,46,3,51,2011,10,2011-10-04
5,Mittwoch,34,0,6,28,0,7,31,1,35,2011,10,2011-10-05
6,Donnerstag,49,0,5,44,0,6,48,3,52,2011,10,2011-10-06
7,Freitag,42,0,6,36,0,6,40,2,44,2011,10,2011-10-07
8,Samstag,41,0,8,33,0,8,43,5,46,2011,10,2011-10-08
9,Sonntag,23,0,3,20,0,3,25,9,32,2011,10,2011-10-09
10,Montag,75,0,6,69,0,7,78,3,78,2011,10,2011-10-10
11,Dienstag,61,0,8,53,0,8,59,4,65,2011,10,2011-10-11
12,Mittwoch,49,0,6,43,0,6,45,2,51,2011,10,2011-10-12
13,Donnerstag,40,0,2,38,0,2,50,1,41,2011,10,2011-10-13
14,Freitag,50,0,8,42,0,8,59,6,56,2011,10,2011-10-14
15,Samstag,34,2,7,25,2,7,37,0,34,2011,10,2011-10-15
16,Sonntag,33,0,3,30,0,3,36,3,36,2011,10,2011-10-16
17,Montag,49,1,5,43,1,5,50,2,51,2011,10,2011-10-17
18,Dienstag,57,0,10,47,0,10,54,3,60,2011,10,2011-10-18
19,Mittwoch,40,0,5,35,0,5,45,2,42,2011,10,2011-10-19
20,Donnerstag,52,0,11,41,0,11,50,3,55,2011,10,2011-10-20
21,Freitag,49,0,4,45,0,4,55,3,52,2011,10,2011-10-21
22,Samstag,40,1,6,33,1,6,39,2,42,2011,10,2011-10-22
23,Sonntag,25,0,3,22,0,3,34,5,30,2011,10,2011-10-23
24,Montag,50,0,2,48,0,2,55,3,53,2011,10,2011-10-24
25,Dienstag,60,1,9,50,1,9,61,0,60,2011,10,2011-10-25
26,Mittwoch,68,0,7,61,0,8,65,2,70,2011,10,2011-10-26
27,Donnerstag,56,0,10,46,0,10,54,2,58,2011,10,2011-10-27
28,Freitag,49,1,3,45,1,3,53,3,52,2011,10,2011-10-28
29,Samstag,30,0,5,25,0,5,34,4,34,2011,10,2011-10-29
30,Sonntag,28,0,7,21,0,7,30,6,34,2011,10,2011-10-30
31,Montag,55,0,3,52,0,3,59,4,59,2011,10,2011-10-31
1,Dienstag,59,1,5,53,1,5,59,5,64,2011,11,2011-11-01
2,Mittwoch,45,1,7,37,1,7,39,2,47,2011,11,2011-11-02
3,Donnerstag,48,0,4,44,0,4,49,3,51,2011,11,2011-11-03
4,Freitag,42,0,5,37,0,6,39,3,45,2011,11,2011-11-04
5,Samstag,29,0,9,20,0,9,29,2,31,2011,11,2011-11-05
6,Sonntag,20,0,3,17,0,4,26,3,23,2011,11,2011-11-06
7,Montag,33,0,3,30,0,3,40,2,35,2011,11,2011-11-07
8,Dienstag,47,0,8,39,0,8,44,8,55,2011,11,2011-11-08
9,Mittwoch,35,0,5,30,0,5,37,1,36,2011,11,2011-11-09
10,Donnerstag,44,0,5,39,0,6,48,0,44,2011,11,2011-11-10
11,Freitag,34,0,4,30,0,4,40,4,38,2011,11,2011-11-11
12,Samstag,27,0,5,22,0,5,36,6,33,2011,11,2011-11-12
13,Sonntag,16,0,4,12,0,4,17,6,22,2011,11,2011-11-13
14,Montag,38,0,7,31,0,7,35,4,42,2011,11,2011-11-14
15,Dienstag,27,0,7,20,0,8,23,1,28,2011,11,2011-11-15
16,Mittwoch,44,1,5,38,1,5,44,4,48,2011,11,2011-11-16
17,Donnerstag,24,0,3,21,0,3,28,5,29,2011,11,2011-11-17
18,Freitag,49,0,5,44,0,5,53,2,51,2011,11,2011-11-18
19,Samstag,29,0,6,23,0,6,38,4,33,2011,11,2011-11-19
20,Sonntag,17,0,0,17,0,0,18,2,19,2011,11,2011-11-20
21,Montag,42,0,5,37,0,5,40,2,44,2011,11,2011-11-21
22,Dienstag,44,0,4,40,0,4,47,2,46,2011,11,2011-11-22
23,Mittwoch,26,0,2,24,0,3,27,1,27,2011,11,2011-11-23
24,Donnerstag,36,0,4,32,0,4,36,4,40,2011,11,2011-11-24
25,Freitag,53,0,7,46,0,7,55,8,61,2011,11,2011-11-25
26,Samstag,28,0,1,27,0,1,31,5,33,2011,11,2011-11-26
27,Sonntag,19,0,1,18,0,1,22,5,24,2011,11,2011-11-27
28,Montag,33,0,7,26,0,7,34,4,37,2011,11,2011-11-28
29,Dienstag,45,0,6,39,0,6,45,3,48,2011,11,2011-11-29
30,Mittwoch,50,0,7,43,0,7,55,6,56,2011,11,2011-11-30
1,Donnerstag,41,0,2,39,0,2,50,1,42,2011,12,2011-12-01
2,Freitag,35,0,4,31,0,4,34,7,42,2011,12,2011-12-02
3,Samstag,28,0,5,23,0,5,34,4,32,2011,12,2011-12-03
4,Sonntag,31,0,6,25,0,7,32,2,33,2011,12,2011-12-04
5,Montag,45,0,8,37,0,8,47,8,53,2011,12,2011-12-05
6,Dienstag,31,0,4,27,0,4,34,4,35,2011,12,2011-12-06
7,Mittwoch,66,0,13,53,0,13,64,7,73,2011,12,2011-12-07
8,Donnerstag,42,0,5,37,0,5,43,4,46,2011,12,2011-12-08
9,Freitag,45,0,9,36,0,9,44,2,47,2011,12,2011-12-09
10,Samstag,25,0,4,21,0,4,25,5,30,2011,12,2011-12-10
11,Sonntag,12,0,2,10,0,2,12,3,15,2011,12,2011-12-11
12,Montag,72,0,13,59,0,13,64,4,76,2011,12,2011-12-12
13,Dienstag,63,0,4,59,0,4,68,5,68,2011,12,2011-12-13
14,Mittwoch,53,1,11,41,1,11,47,4,57,2011,12,2011-12-14
15,Donnerstag,36,0,2,34,0,2,44,2,38,2011,12,2011-12-15
16,Freitag,64,1,7,56,1,7,68,5,69,2011,12,2011-12-16
17,Samstag,22,0,3,19,0,3,26,4,26,2011,12,2011-12-17
18,Sonntag,20,0,4,16,0,6,22,2,22,2011,12,2011-12-18
19,Montag,37,1,0,36,1,0,44,2,39,2011,12,2011-12-19
20,Dienstag,26,0,6,20,0,6,23,5,31,2011,12,2011-12-20
21,Mittwoch,53,0,8,45,0,8,57,4,57,2011,12,2011-12-21
22,Donnerstag,29,1,5,23,1,5,28,4,33,2011,12,2011-12-22
23,Freitag,31,0,3,28,0,3,38,4,35,2011,12,2011-12-23
24,Samstag,13,0,3,10,0,3,14,6,19,2011,12,2011-12-24
